datasetName_standard,datasetName_var
Atlas of Living Australia (ALA),ALA (2015)
antmaps,Antmaps (2016)
Asian-Pacific Alien Species Database (APASD),APASD (2020)
Aquatic Non-Indigeneous and Cryptogenic Species Database (AquaNIS),AquaNIS (2015)
Alien Species of Japan (ASJ),ASJ (2020)
The Australasian Virtual Herbarium (AVH),AVH (2015)
The Belgian Forum on Invasive Species (BFIS) ,BFIS (2020)
The Biota of North America Program (BONAP),BONAP (2015)
CABI Invasive Species Compendium (ISC),CABI ISC (2015)
CONABIO Sistema Nacional de Información sobre Biodiversidad (SNIB),CONABIO (2013)
Consortium of California Herbaria,Consortium of California Herbaria (2020)
Delivering Alien Invasive Species Inventories for Europe (DAISIE),DAISIE (2014)
 European Alien Species Information Network (EASIN),EASIN (2021)
FishBase,FishBase (2020)
Global Distribution and Drivers of Alien Bird Species Richness (GAVIA),GAVIA (2017)
Global Invasive Species Database (GISD),GISD (2015)
The University and Jepson Herbaria,The University and Jepson Herbaria (2020)
USDA PLANTS Database,USDA PLANTS Database (2020)
Indian aLien flOra infoRmAtion (ILORA),ILORA (2021)
European Network on Invasive Alien Species (NOBANIS),NOBANIS (2018)
SeaLifeBase,SeaLifeBase (2020)
Chinese Virtual Herbarium (CVH),CVH (2021)
