pathway_standard,pathway_var,,,,,
Corridor,Corridor,,,,,
Corridor: Interconnected waterways/basins/seas,Corridor: Interconnected waterways/basins/seas,,,,,
Corridor: Tunnels and land bridges,Corridor: Tunnels and land bridges,,,,,
Escape from confinement,Escaped; Escape from confinement,,,,,
Escape from confinement,Escape from confinement,,,,,
Escape from confinement: Agriculture,"Escape from confinement: Agriculture; Food, Fibre; Cultivation",,,,,
Escape from confinement: Aquaculture/mariculture,Escape from confinement: Aquaculture/mariculture; fisheries; aquaculture,,,,,
Escape from confinement: Botanical garden/zoo/aquaria,Escape from confinement: Botanical garden/zoo/aquaria,,,,,
Escape from confinement: Farmed animals,Escape from confinement: Farmed animals; Farming,,,,,
Escape from confinement: Forestry,Escape from confinement: Forestry; Agroforestry,,,,,
Escape from confinement: Fur farms,Wild Fur; Fur Farming; Escape from confinement: Fur farms,,,,,
Escape from confinement: Horticulture,Escape from confinement: Horticulture; Horticulture,,,,,
Escape from confinement: Live food and live bait,Escape from confinement: Live food and live bait,,,,,
Escape from confinement: Ornamental purpose other than horticulture,"Fornamentalornamentald; Ornamental Purposes; Wood, Ornamental; Ornamental; Ornamental, tanbark",,,,,
Escape from confinement: Other escape from confinement,Escape from confinement: Other escape from confinement,,,,,
Escape from confinement: Pet/aquarium/terrarium species,Escape from confinement: Pet/aquarium/terrarium species; Pet (L); Pet,,,,,
Escape from confinement: Research and ex-situ breeding,Research; Escape from confinement: Research and ex-situ breeding,,,,,
Release in nature,Released,,,,,
Release in nature: Biological control,Release in nature: Biological control; Biological Control (L); Biological Control,,,,,
Release in nature: Erosion control/dune stabilization,Release in nature: Erosion control/dune stabilization,,,,,
Release in nature: Fishery in the wild,Release in nature: Fishery in the wild,,,,,
Release in nature: Hunting in the wild,Hunting (L); Release in nature: Hunting in the wild; Hunting,,,,,
Release in nature: Introduction for conservation purposes,"Conservation, Zoo; Conservation (L); Conservation; Release in nature: Introduction for conservation purposes; Zoo;",,,,,
Release in nature: Landscape/flora/fauna,Release in nature: Landscape/flora/fauna,,,,,
Release in nature: Other intentional release,"Release in nature: Other intentional release; Fauna Improvement, Hunting",,,,,
Release in nature: Release in nature for use,Release in nature: Release in nature for use,,,,,
Transport – contaminant,Transport – contaminant,,,,,
Transport – contaminant: Contaminant nursery material,Transport – contaminant: Contaminant nursery material,,,,,
Transport – contaminant: Contaminant on animals,Transport – contaminant: Contaminant on animals,,,,,
Transport – contaminant: Contaminant on plants,Transport – contaminant: Contaminant on plants,,,,,
Transport – contaminant: Contaminated bait,Transport – contaminant: Contaminated bait,,,,,
Transport – contaminant: Food contaminant,Transport – contaminant: Food contaminant,,,,,
Transport – contaminant: Parasites on animals,Transport – contaminant: Parasites on animals,,,,,
Transport – contaminant: Parasites on plants,Transport – contaminant: Parasites on plants,,,,,
Transport – contaminant: Seed contaminant,Transport – contaminant: Seed contaminant; Seed Contaminant,,,,,
Transport – contaminant: Timber trade,Transport – contaminant: Timber trade,,,,,
Transport – contaminant: Transportation of habitat material,Transport – contaminant: Transportation of habitat material,,,,,
Transport – stowaway,accidental with ships; stowaway; Transport – stowaway; Stowaway (L),,,,,
Transport – stowaway: Angling/fishing equipment,Transport – stowaway: Angling/fishing equipment,,,,,
Transport – stowaway: Container/bulk,Transport – stowaway: Container/bulk,,,,,
Transport – stowaway: Hitchhikers in or on airplane,Transport – stowaway: Hitchhikers in or on airplane,,,,,
Transport – stowaway: Hitchhikers on ship/boat,Transport – stowaway: Hitchhikers on ship/boat; ShipStowaway,,,,,
Transport – stowaway: Machinery/equipment,Transport – stowaway: Machinery/equipment,,,,,
Transport – stowaway: Organic packing material,Transport – stowaway: Organic packing material,,,,,
Transport – stowaway: Other means of transport,Transport – stowaway: Other means of transport,,,,,
Transport – stowaway: People and their luggage/equipment,Transport – stowaway: People and their luggage/equipment,,,,,
Transport – stowaway: Ship/boat ballast water,Transport – stowaway: Ship/boat ballast water,,,,,
Transport – stowaway: Ship/boat hull fouling,Transport – stowaway: Ship/boat hull fouling,,,,,
Transport – stowaway: Vehicles,Transport – stowaway: Vehicles,,,,,
Unaided,Unaided,,,,,
Unaided: Natural dispersal,Unaided: Natural dispersal,,,,,
